time,open,high,low,close
1658174400,21614.9,22650,21420,22423.9
1658188800,22423.5,22950,21800,21897.9
1658203200,21898,22124.6,21575,21761
1658217600,21760.9,22237.6,21686.3,21967.6
1658232000,21967.6,23200,21967.5,23116.2
1658246400,23117.1,23739,22942.4,23391.5
1658260800,23390.6,23817.9,23146.5,23385.9
1658275200,23385.9,23517,22922,23433.8
1658289600,23433.9,23861,23300,23376.7
1658304000,23377,23888,23298.5,23720
1658318400,23720.1,24277,23556.9,24153.4
1658332800,24153.5,24182.9,23420,23650.6
1658347200,23650.6,23799,22912.4,23221.5
1658361600,23221.5,23441.1,22662.8,22774.4
1658376000,22774.4,23088,22636,22926.7
1658390400,22926.6,23069,22444,22605.4
1658404800,22605.5,22842.7,22340.2,22633.7
1658419200,22633.7,23196,22625.3,23193
1658433600,23193,23295.5,22930.3,23144.5
1658448000,23144.5,23342.2,22850,22903.5
1658462400,22903.5,23318.4,22803,23109.2
1658476800,23109.3,23623.6,23060,23600.8
1658491200,23600.7,23750,23217,23286.7
1658505600,23286.7,23335,22531.9,22578.9
1658520000,22579,22775,22500,22675.1
1658534400,22675,22890,22540.1,22796.4
1658548800,22796.4,22990,22654.7,22764.2
1658563200,22764.2,22871,22204.2,22226.3
1658577600,22226.8,22381,22032,22209.9
1658592000,22209.9,22325,21933.5,22268.8
1658606400,22266.5,22548,22210,22440.2
1658620800,22440.1,22663.1,22286,22326.5
1658635200,22326.4,22828.8,22256.4,22692.4
1658649600,22692.4,22812,22470,22648.2
1658664000,22648.1,22935,22428.1,22837
1658678400,22837,22868.9,22626,22695.1
1658692800,22695.1,22999,22503,22570.6
1658707200,22570.6,22656.8,21763.3,21858
1658721600,21858.1,21988.4,21734.1,21951.3
1658736000,21951.2,22095,21860.2,21931.5
1658750400,21931.6,21996.1,21650,21884.3
1658764800,21884.4,22000,21544.5,21879.5
1658779200,21879.6,22252.6,21232,21300
1658793600,21300,21334.4,20820.8,21130.2
1658808000,21130.2,21250,21000,21053.7
1658822400,21053.7,21147.7,20922.5,21078.9
1658836800,21078.9,21181.6,20689.6,20737.6
1658851200,20737.6,21073,20730.3,20907.9
1658865600,20907.8,21294,20803.6,21241
1658880000,21241,21268.1,21031,21065.1
1658894400,21065.2,21442,21054.4,21335
